indv	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
HG01865	-0.0071	0.0264	0.0088	0.0126	8e-04	-6e-04	-2e-04	-0.002	0.0046	-0.0071	0.0027	-0.0065	2e-04	0.006	0.0064	-0.002	0.0034	4e-04	-0.015	-3e-04
HG01866	-0.0097	0.0245	0.0085	0.0095	0.0017	-0.0036	-1e-04	2e-04	0.0017	0.0052	0.0067	-0.0011	-0.0051	0.0022	0.0022	-7e-04	0.0015	0.0016	-0.0034	0.002
HG01867	-0.0091	0.0331	0.0024	0.0166	1e-04	-0.0011	0.0041	8e-04	-0.0017	-0.0017	-3e-04	-0.0067	-2e-04	0.0034	0.0043	-0.0023	4e-04	5e-04	-0.0051	-3e-04
HG01868	-0.0079	0.0341	0.0032	0.0296	-0.0026	0.0087	0.0011	0.0154	0.0015	-0.0177	-0.0378	-0.0051	0.0188	0.0158	0.0062	-0.0088	0.0054	0.008	-0.0096	-0.0195
HG01869	-0.0087	0.0338	0.007	0.0165	0.0032	0.003	-0.0021	-0.006	0.0057	-8e-04	0.0083	-0.0033	-0.0036	0.0056	0.001	-0.0016	0.0042	0.0037	-0.0136	0.0016
HG01870	-0.0115	0.0336	0.0028	0.016	-0.0033	-0.004	-0.0046	0.0093	-0.0016	1e-04	-0.0115	-4e-04	0.0047	-0.0048	6e-04	0.0029	-0.0051	0.0019	-0.0034	-9e-04
HG01871	-0.0078	0.0293	0.0035	0.0128	-0.0016	0.0015	-0.0039	-0.0081	0.0012	-0.005	0.0092	-0.0013	0.003	-0.0022	-5e-04	-4e-04	-0.0011	-0.0058	-0.0054	0.002
HG01872	-0.0098	0.0227	0.0058	0.0116	0.0039	0.0024	-0.0028	3e-04	0.0039	0.0012	8e-04	0.0033	-0.0027	0.0034	3e-04	-0.0017	0.0038	0.002	-0.004	-1e-04
HG01873	-0.0074	0.029	0.0079	0.0035	-4e-04	-0.0079	0.0081	-0.0016	1e-04	-0.0076	0.0034	0.009	0.0042	0.0013	-0.0023	0.0053	-0.008	-0.0028	0.0076	0.0082
HG01874	-0.01	0.0238	0.0036	0.0058	-8e-04	0.0018	4e-04	-0.0074	-0.0022	0.0044	0.0067	-0.0029	-0.0018	-0.0027	-0.0011	-0.0011	9e-04	0.0023	-0.0042	0.0025
HG01878	-0.0105	0.0327	0.0081	0.016	6e-04	-0.0037	-0.0026	0.0073	3e-04	-0.0045	-0.0131	0.0048	0.0047	6e-04	9e-04	0.0032	-0.0034	-0.0065	0.0109	1e-04
