ID1	ID2	IBD_CM_SUM
HG01357	HG01550	93.85604
HG03752	HG03848	5.418198
HG00275	HG00375	6.201202
HG00350	HG00362	12.1637
HG03108	HG03193	21.06722
HG01089	HG01101	42.38939
HG01095	HG01308	67.36112
HG01089	HG01325	17.48766
NA19019	NA19391	10.70102
HG00280	HG00361	10.24844
NA19625	NA20282	22.5312
HG01089	HG01176	57.08016
HG00275	HG00365	10.95294
HG01089	HG01197	35.70962
NA20869	NA21106	21.74023
HG01137	HG01479	26.81123
HG00178	HG00343	16.15097
HG01095	HG01105	29.1656
HG01357	HG01468	40.72459
HG01089	HG01161	22.55419
HG01200	HG01205	16.84215
HG00742	HG01247	11.33505
HG01089	HG01412	22.94411
HG02922	HG03108	7.908707
HG01137	HG01251	16.70195
NA19190	NA19210	5.865128
HG02922	HG02952	7.999344
NA19313	NA19334	1478.411
HG01095	HG01176	19.7573
HG01137	HG01369	29.26619
HG00742	HG01323	49.72153
HG03692	HG03995	140.9044
NA19625	NA20274	1634.713
HG03121	HG03300	6.919037
HG01357	HG01494	37.27908
HG01089	HG01104	13.62384
HG01089	HG01326	46.21167
HG00742	HG01183	30.45511
HG01357	HG01360	11.81281
HG02922	HG03193	5.520325
HG01776	NA19756	6.229584
HG00742	HG01066	16.51708
HG01357	HG01497	43.30042
HG03754	HG03854	41.82166
HG01137	HG01474	54.01772
NA19038	NA19390	5.399902
HG01137	HG01447	20.15358
HG00274	HG00337	6.271484
HG03692	HG03760	8.028504
HG00101	HG00118	31.13035
HG03754	HG03837	32.5977
HG00275	HG00311	10.5845
HG01357	HG01374	19.14368
HG00274	HG00288	28.83683
HG01089	HG01375	6.056534
HG03754	HG03884	31.59366
HG00742	HG01187	65.41461
HG01085	HG01191	18.92943
HG03754	HG04042	11.84904
HG03692	HG03949	6.922302
HG00742	HG01088	11.99521
HG01921	HG02275	5.100235
HG01867	HG02070	6.394226
HG00101	HG00125	31.01666
HG03692	HG03900	10.43576
HG00274	HG00327	6.148865
HG00553	HG00740	29.98217
NA20527	NA20783	5.225744
NA20521	NA20586	12.55975
